ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution,Density,labcTime,labcoefOfRestitution
Sat205400,-0.472,99,2.38,3.6829375,0.5194388372,0.369569925988927,3.25,4.2059375,0.369569700222701
Sat205618,-0.4872,99,2.38,3.672953125,0.5344427654,0.368522531721148,3.25,4.196953125,0.36852231941723
Sat205834,-0.5685,99,2.38,3.637953125,0.6156365066,0.364886496555322,3.25,4.164953125,0.364886339739115
Sat210052,-0.6331,99,2.38,3.6159648437,0.6798321312,0.362101819092965,3.25,4.1459648437,0.362101691926528
Sat210317,-0.6799,99,2.38,3.5999667969,0.7257160453,0.35968471187985,3.25,4.1319667969,0.359684601201468
Sat210549,-0.7411,99,2.38,3.5849648437,0.7862114768,0.357408856891186,3.25,4.1189648437,0.357408763387469
Sat214848,-0.3832,99,2.38,7.5269375,0.7080556174,0.552100771588747,7.93,6.8309375,0.510152512336763
Sat215255,-0.4667,99,2.38,7.474875,0.8471418679,0.542571845636223,7.93,6.760875,0.499338974873951
Sat215659,-0.541,99,2.38,7.4449375,0.9690016306,0.532072147111457,7.93,6.7109375,0.487430111934111
Sat220105,-0.6084,99,2.38,7.4239648437,1.0804201632,0.529172704131844,7.93,6.6809648437,0.48342253685696
Sat220519,-0.6623,99,2.38,7.4099677734,1.1669335234,0.522325570290946,7.93,6.6509677734,0.475387121871757
Sat221002,-0.719,99,2.38,7.4019667969,1.2608897039,0.521669223777955,7.93,6.6379667969,0.473661020566874
Sat221443,-0.7299,99,2.38,7.3979667969,1.2770485951,0.518210828958226,7.93,6.6279667969,0.469868540322316
