ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution,Density,labcTime,labcoefOfRestitution
Sat205158,-0.472,70,2.38,4.3689375,0.6145541268,0.357137936628236,3.25,5.0059375,0.357137661650986
Sat205432,-0.4872,70,2.38,4.35496875,0.6316741091,0.355716736574009,3.25,4.99096875,0.355716478892127
Sat205704,-0.5685,70,2.38,4.3089609375,0.72684292,0.352390329332858,3.25,4.9489609375,0.352390138891898
Sat205938,-0.6331,70,2.38,4.2829648437,0.8024934762,0.350111020419108,3.25,4.9259648437,0.350110866139805
Sat210219,-0.6799,70,2.38,4.2669667969,0.8573104599,0.348624280791695,3.25,4.9129667969,0.348624146396495
Sat210509,-0.7411,70,2.38,4.2459609375,0.9278539249,0.346099046272489,3.25,4.8939609375,0.346098932807285
Sat214647,-0.3832,70,2.38,9.0039375,0.8421183377,0.552445550315917,7.93,8.1509375,0.50598596338725
Sat215140,-0.4667,70,2.38,8.9359296875,1.0055640784,0.540909528887343,7.93,8.0579296875,0.492874701138808
Sat215635,-0.541,70,2.38,8.8949609375,1.1506197382,0.53466394281624,7.93,8.0009609375,0.485354545276667
Sat220131,-0.6084,70,2.38,8.8679667969,1.2797740138,0.525972018673334,7.93,7.9519667969,0.475081277982476
Sat220703,-0.6623,70,2.38,8.8509667969,1.3839939876,0.523224171077468,7.93,7.9249667969,0.471219525700638
Sat221216,-0.719,70,2.38,8.8379667969,1.4943836129,0.522348778189963,7.93,7.9049667969,0.469357881495522
Sat221729,-0.7299,70,2.38,8.8339648438,1.5141042621,0.519884018546711,7.93,7.8959648438,0.466488212620309
